x,Group,mean,sd,ymin,Lower,Middle,Upper,ymax
Clubhook Squid,Early,0.070080922,0.096852075,2.34E-10,0.005257351,0.031168586,0.094140754,0.357179591
Clubhook Squid,Mid,0.067915783,0.085253876,6.43E-10,0.006398496,0.036691688,0.096946275,0.309749739
Clubhook Squid,Late,0.052317229,0.06229468,9.25E-09,0.005422544,0.028098166,0.078885486,0.218329134
Grenadier,Early,0.038838484,0.048029843,3.17E-10,0.003138476,0.020773324,0.057937485,0.171528749
Grenadier,Mid,0.072742019,0.091470294,5.02E-09,0.007072605,0.037461448,0.104748513,0.339719097
Grenadier,Late,0.036022741,0.041992867,1.06E-08,0.004057821,0.020472791,0.053157885,0.152717739
Magister Squid,Early,0.064659166,0.066223601,3.28E-10,0.009189186,0.044833019,0.09860806,0.225998511
Magister Squid,Mid,0.123996805,0.114600697,7.80E-09,0.023124618,0.09573666,0.195131967,0.39341349
Magister Squid,Late,0.076320411,0.07334242,1.31E-08,0.012555225,0.057497556,0.121245527,0.258531737
Sablefish.Dogfish.Ragfish,Early,0.224513729,0.182388793,3.69E-09,0.059020168,0.203295706,0.348659731,0.623168099
Sablefish.Dogfish.Ragfish,Mid,0.274956586,0.202631151,2.25E-08,0.102637817,0.263729688,0.416768164,0.692822522
Sablefish.Dogfish.Ragfish,Late,0.440349136,0.175166807,0.076457939,0.326031022,0.441191306,0.554197184,0.784777323
Shortraker Rockfish,Early,0.237696113,0.306619799,5.94E-05,0.022970833,0.091899734,0.320289586,0.999717336
Shortraker Rockfish,Mid,0.27322577,0.289472864,0.000204051,0.043638398,0.161782565,0.409232474,0.998129434
Shortraker Rockfish,Late,0.107365885,0.117169156,5.03E-08,0.015248211,0.069140999,0.164592166,0.417047458
Skate,Early,0.364211587,0.257013421,7.35E-10,0.136369827,0.366519868,0.554996567,0.863563952
Skate,Mid,0.187163037,0.156846422,9.06E-10,0.040504977,0.16570086,0.300998357,0.5261096
Skate,Late,0.287624599,0.152359615,0.000480895,0.187533461,0.291630491,0.390690824,0.582558257