d13C,d15N,Frequent
-18.42,15.14,Unk
-16.88,15.97,Unk
-17.08,16.24,Unk
-17.02,18.08,Non-Frequent
-16.73,16.97,Non-Frequent
-16.56,18.25,Non-Frequent
-16.42,17.77,Non-Frequent
-16.3,17.51,Frequent
-17.37,16.85,Non-Frequent
-16.4,17.53,Frequent
-17.24,16.54,Non-Frequent
-17.42,16.61,Non-Frequent
-16.27,16.77,Non-Frequent
-16.43,16.98,Non-Frequent
-17.37,16.58,Non-Frequent
-16.57,16.11,Non-Frequent
-17.28,16.97,Non-Frequent
-17.54,17.5,Non-Frequent
-17.66,17.08,Frequent
-16.47,17.34,Non-Frequent
-16.93,18.22,Frequent
-17.33,16.94,Non-Frequent
-18.4,15.09,Non-Frequent
-17.05,17.04,Frequent
-16.82,16.6,Non-Frequent
-16.54,17.8,Frequent
-17.16,17.08,Frequent
-18.28,15.6,Non-Frequent
-17.46,17.6,Frequent
-17.53,17.43,Frequent
-17.86,16.1,Non-Frequent
-18.13,15.91,Non-Frequent
-17.63,16.5,Frequent