d13C,d15N,Temporal
-18.42,15.14,Old
-16.88,15.97,Old
-17.08,16.24,Old
-17.02,18.08,Old
-16.73,16.97,Old
-16.56,18.25,Old
-16.42,17.77,Old
-16.3,17.51,Recent
-17.37,16.85,Recent
-16.4,17.53,Recent
-17.24,16.54,Recent
-17.42,16.61,Recent
-16.27,16.77,Old
-16.43,16.98,Old
-17.37,16.58,Recent
-16.57,16.11,Old
-17.28,16.97,Recent
-17.54,17.5,Recent
-17.66,17.08,Recent
-16.47,17.34,Recent
-16.93,18.22,Recent
-17.33,16.94,Recent
-18.4,15.09,Recent
-17.05,17.04,Recent
-16.82,16.6,Recent
-16.54,17.8,Recent
-17.16,17.08,Recent
-18.28,15.6,Recent
-17.46,17.6,Recent
-17.53,17.43,Recent
-17.86,16.1,Recent
-18.13,15.91,Recent
-17.63,16.5,Recent